/////////////////////////////////////////////////////////////////////  
///                                                              /// 
///                                                             /// 
///              GTA V Sky for GTA San Andreas                 ///                                                                        
///  CREATED BY ROBERT ENB SERIES(BadDriver on some forums)   ///
///                                                          ///                            
///                                                         ///                                                                 
///                                                        ///                                                              
///                                                       ///
///                                                      ///
///////////////////////////////////////////////////////////

//////////// EXTRASUNNY_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
28 20 18	255 255 255	255 255 255	0 0 0	7 15 10	0 0 0	0 0 0	0.1 0.5 0.3 150 100 0 3000 100 0.3	0 0 0	0 0 0	17 40 77 180	52 124 106 116	127 52 27 0	0 0 0 0
//6AM
23 26 24	255 255 255	255 255 255	127 122 127	229 184 136	254 128 1	255 183 16	0.1 0 0.1 140 100 0 3000 100 0.3	0 0 0	178 136 131	106 118 255 175	50 66 86 86	100 149 114 40	100 160 0 0
//7AM
26 20 18	255 255 255	255 255 255	130 125 130	178 226 255	255 255 255	128 94 46	0.21  0.2 0.3 255 0 150 3000 600 0	255 255 255	255 255 255	120 186 255 180	127 24 24 24	127 78 69 54	30 189 0 0
//Midday
38 29 25	255 255 255	255 255 255	130 125 130	120 197 245	255 255 255	255 187 91	0.21  0.2 0.3 255 0 150 3000 600 0	255 255 255	255 255 255	50 170 255 180	127 23 23 23	127 78 69 54	30 189 0 0
//7PM
39 38 38	255 255 255	255 255 255	130 125 130	134 202 245	255 255 255	128 94 46	0.21  0.2 0.3 255 0 150 3000 600 0	255 255 255	255 255 255	75 180 255 180	127 25 25 25	127 78 69 54	30 189 0 0
//8PM
0 0 0	255 255 255	255 255 255	130 125 130	216 202 184	155 129 110	255 136 17	0.1 0.1 0.1 100 60 0 3000 5 1	0 0 0	129 129 129	106 125 255 160	90 39 29 21	90 77 43 9	140 101 0 0
//10PM
20 25 25	255 255 255	255 255 255	45 42 45	45 42 45	255 127 0	5 8 0	0.1 0.1 0.3 160 100 0 3000 10 0.8	0 0 0	0 0 0	35 47 78 180	12 74 143 91	127 78 52 0	0 0 0 0
//
//////////// EXTRASUNNY_SMOG_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
38 38 33	255 255 255	255 255 255	20 20 20	20 20 20	255 128 0	5 0 0	0.1 0.1 0.4 200 100 0 3000 100 1	0 0 0	0 0 0	52 40 46 180	72 0 0 0	127 0 0 0	0 0 0 0
//5AM
28 20 18	255 255 255	255 255 255	0 0 0	7 15 10	0 0 0	0 0 0	0.1 0.5 0.3 150 100 0 3000 100 0.3	0 0 0	0 0 0	17 40 77 180	52 124 106 116	127 52 27 0	0 0 0 0
//6AM
23 26 24	255 255 255	255 255 255	127 122 127	229 184 136	254 128 1	255 183 16	0.1 0 0.1 140 100 0 3000 100 0.3	0 0 0	178 136 131	106 118 255 175	50 66 86 86	100 149 114 40	100 160 0 0
//7AM
26 20 18	255 255 255	255 255 255	130 125 130	178 226 255	255 255 255	128 94 46	0.21  0.2 0.3 255 0 150 3000 600 0	255 255 255	255 255 255	120 186 255 180	127 24 24 24	127 78 69 54	30 189 0 0
//Midday
38 29 25	255 255 255	255 255 255	130 125 130	120 197 245	255 255 255	255 187 91	0.21  0.2 0.3 255 0 150 3000 600 0	255 255 255	255 255 255	50 170 255 180	127 23 23 23	127 78 69 54	30 189 0 0
//7PM
39 38 38	255 255 255	255 255 255	130 125 130	134 202 245	255 255 255	128 94 46	0.21  0.2 0.3 255 0 150 3000 600 0	255 255 255	255 255 255	75 180 255 180	127 25 25 25	127 78 69 54	30 189 0 0
//8PM
0 0 0	255 255 255	255 255 255	130 125 130	216 202 184	155 129 110	255 136 17	0.1 0.1 0.1 100 60 0 3000 5 1	0 0 0	129 129 129	106 125 255 160	90 39 29 21	90 77 43 9	140 101 0 0
//10PM
20 25 25	255 255 255	255 255 255	45 42 45	45 42 45	255 127 0	5 8 0	0.1 0.1 0.3 160 100 0 3000 10 0.8	0 0 0	0 0 0	35 47 78 180	12 74 143 91	127 78 52 0	0 0 0 0
//
//////////// SUNNY_SMOG_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
38 38 33	255 255 255	255 255 255	20 20 20	20 20 20	255 128 0	5 0 0	0.1 0.1 0.4 200 100 0 3000 100 1	0 0 0	0 0 0	52 40 46 180	72 0 0 0	127 0 0 0	0 0 0 0
//5AM
28 20 18	255 255 255	255 255 255	0 0 0	7 15 10	0 0 0	0 0 0	0.1 0.5 0.3 150 100 0 3000 100 0.3	0 0 0	0 0 0	17 40 77 180	52 124 106 116	127 52 27 0	0 0 0 0
//6AM
23 26 24	255 255 255	255 255 255	127 122 127	229 184 136	254 128 1	255 183 16	0.1 0 0.1 140 100 0 3000 100 0.3	0 0 0	178 136 131	106 118 255 175	50 66 86 86	100 149 114 40	100 160 0 0
//7AM
26 20 18	255 255 255	255 255 255	130 125 130	178 226 255	255 255 255	128 94 46	0.21  0.2 0.3 255 0 150 3000 600 0	255 255 255	255 255 255	120 186 255 180	127 24 24 24	127 78 69 54	30 189 0 0
//Midday
38 29 25	255 255 255	255 255 255	130 125 130	120 197 245	255 255 255	255 187 91	0.21  0.2 0.3 255 0 150 3000 600 0	255 255 255	255 255 255	50 170 255 180	127 23 23 23	127 78 69 54	30 189 0 0
//7PM
39 38 38	255 255 255	255 255 255	130 125 130	134 202 245	255 255 255	128 94 46	0.21  0.2 0.3 255 0 150 3000 600 0	255 255 255	255 255 255	75 180 255 180	127 25 25 25	127 78 69 54	30 189 0 0
//8PM
0 0 0	255 255 255	255 255 255	130 125 130	216 202 184	155 129 110	255 136 17	0.1 0.1 0.1 100 60 0 3000 5 1	0 0 0	129 129 129	106 125 255 160	90 39 29 21	90 77 43 9	140 101 0 0
//10PM
20 25 25	255 255 255	255 255 255	45 42 45	45 42 45	255 127 0	5 8 0	0.1 0.1 0.3 160 100 0 3000 10 0.8	0 0 0	0 0 0	35 47 78 180	12 74 143 91	127 78 52 0	0 0 0 0
//
//////////// CLOUDY_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
38 38 33	255 255 255	255 255 255	20 20 20	20 20 20	255 128 0	5 0 0	0.1 0.1 0.4 200 100 0 3000 100 1	0 0 0	0 0 0	52 40 46 180	72 0 0 0	127 0 0 0	0 0 0 0
//5AM
28 20 18	255 255 255	255 255 255	0 0 0	7 15 10	0 0 0	0 0 0	0.1 0.5 0.3 150 100 0 3000 100 0.3	0 0 0	0 0 0	17 40 77 180	52 124 106 116	127 52 27 0	0 0 0 0
//6AM
23 26 24	255 255 255	255 255 255	127 122 127	229 184 136	254 128 1	255 183 16	0.1 0 0.1 140 100 0 3000 100 0.3	0 0 0	178 136 131	106 118 255 175	50 66 86 86	100 149 114 40	100 160 0 0
//7AM
26 20 18	255 255 255	255 255 255	130 125 130	178 226 255	255 255 255	128 94 46	0.21 0.2 0.3 255 0 150 3000 600 0	255 255 255	255 255 255	120 186 255 180	127 24 24 24	127 78 69 54	30 189 0 0
//Midday
38 29 25	255 255 255	255 255 255	130 125 130	120 197 245	255 255 255	255 187 91	0.21 0.2 0.3 255 0 150 3000 600 0	255 255 255	255 255 255	50 170 255 180	127 23 23 23	127 78 69 54	30 189 0 0
//7PM
39 38 38	255 255 255	255 255 255	130 125 130	134 202 245	255 255 255	128 94 46	0.21 0.2 0.3 255 0 150 3000 600 0	255 255 255	255 255 255	75 180 255 180	127 25 25 25	127 78 69 54	30 189 0 0
//8PM
0 0 0	255 255 255	255 255 255	130 125 130	216 202 184	155 129 110	255 136 17	0.1 0.1 0.1 100 60 0 3000 5 1	0 0 0	129 129 129	106 125 255 160	90 39 29 21	90 77 43 9	140 101 0 0
//10PM
20 25 25	255 255 255	255 255 255	45 42 45	45 42 45	255 127 0	5 8 0	0.1 0.1 0.3 160 100 0 3000 10 0.8	0 0 0	0 0 0	35 47 78 180	12 74 143 91	127 78 52 0	0 0 0 0
//
//////////// SUNNY_SF
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
38 38 33	255 255 255	255 255 255	20 20 20	20 20 20	255 128 0	5 0 0	0.1 0.1 0.4 200 100 0 3000 100 1	0 0 0	0 0 0	52 40 46 180	72 0 0 0	127 0 0 0	0 0 0 0
//5AM
28 20 18	255 255 255	255 255 255	0 0 0	7 15 10	0 0 0	0 0 0	0.1 0.5 0.3 150 100 0 3000 100 0.3	0 0 0	0 0 0	17 40 77 180	52 124 106 116	127 52 27 0	0 0 0 0
//6AM
23 26 24	255 255 255	255 255 255	127 122 127	229 184 136	254 128 1	255 183 16	0.1 0 0.1 140 100 0 3000 100 0.3	0 0 0	178 136 131	106 118 255 175	50 66 86 86	100 149 114 40	100 160 0 0
//7AM
26 20 18	255 255 255	255 255 255	130 125 130	178 226 255	255 255 255	128 94 46	0.21 0.2 0.3 255 0 150 3000 600 0	255 255 255	255 255 255	120 186 255 180	127 24 24 24	127 78 69 54	30 189 0 0
//Midday
38 29 25	255 255 255	255 255 255	130 125 130	120 197 245	255 255 255	255 187 91	0.21 0.2 0.3 255 0 150 3000 600 0	255 255 255	255 255 255	50 170 255 180	127 23 23 23	127 78 69 54	30 189 0 0
//7PM
39 38 38	255 255 255	255 255 255	130 125 130	134 202 245	255 255 255	128 94 46	0.21 0.2 0.3 255 0 150 3000 600 0	255 255 255	255 255 255	75 180 255 180	127 25 25 25	127 78 69 54	30 189 0 0
//8PM
0 0 0	255 255 255	255 255 255	130 125 130	216 202 184	155 129 110	255 136 17	0.1 0.1 0.1 100 60 0 3000 5 1	0 0 0	129 129 129	106 125 255 160	90 39 29 21	90 77 43 9	140 101 0 0
//10PM
20 25 25	255 255 255	255 255 255	45 42 45	45 42 45	255 127 0	5 8 0	0.1 0.1 0.3 160 100 0 3000 10 0.8	0 0 0	0 0 0	35 47 78 180	12 74 143 91	127 78 52 0	0 0 0 0
//
//////////// EXTRASUNNY_SF
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
38 38 33	255 255 255	255 255 255	20 20 20	20 20 20	255 128 0	5 0 0	0.1 0.1 0.4 200 100 0 3000 100 1	0 0 0	0 0 0	52 40 46 180	72 0 0 0	127 0 0 0	0 0 0 0
//5AM
28 20 18	255 255 255	255 255 255	0 0 0	7 15 10	0 0 0	0 0 0	0.1 0.5 0.3 150 100 0 3000 100 0.3	0 0 0	0 0 0	17 40 77 180	52 124 106 116	127 52 27 0	0 0 0 0
//6AM
23 26 24	255 255 255	255 255 255	127 122 127	229 184 136	254 128 1	255 183 16	0.1 0 0.1 140 100 0 3000 100 0.3	0 0 0	178 136 131	106 118 255 175	50 66 86 86	100 149 114 40	100 160 0 0
//7AM
26 20 18	255 255 255	255 255 255	130 125 130	178 226 255	255 255 255	128 94 46	0.21 0.2 0.3 255 0 150 3000 600 0	255 255 255	255 255 255	120 186 255 180	127 24 24 24	127 78 69 54	30 189 0 0
//Midday
38 29 25	255 255 255	255 255 255	130 125 130	120 197 245	255 255 255	255 187 91	0.21 0.2 0.3 255 0 150 3000 600 0	255 255 255	255 255 255	50 170 255 180	127 23 23 23	127 78 69 54	30 189 0 0
//7PM
39 38 38	255 255 255	255 255 255	130 125 130	134 202 245	255 255 255	128 94 46	0.21 0.2 0.3 255 0 150 3000 600 0	255 255 255	255 255 255	75 180 255 180	127 25 25 25	127 78 69 54	30 189 0 0
//8PM
0 0 0	255 255 255	255 255 255	130 125 130	216 202 184	155 129 110	255 136 17	0.1 0.1 0.1 100 60 0 3000 5 1	0 0 0	129 129 129	106 125 255 160	90 39 29 21	90 77 43 9	140 101 0 0
//10PM
20 25 25	255 255 255	255 255 255	45 42 45	45 42 45	255 127 0	5 8 0	0.1 0.1 0.3 160 100 0 3000 10 0.8	0 0 0	0 0 0	35 47 78 180	12 74 143 91	127 78 52 0	0 0 0 0
//
//////////// CLOUDY_SF
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
26 24 24	255 223 148	255 255 255	0 0 2	0 0 2	255 128 0	5 0 0	0.1 0.1 0.4 200 100 0 3000 100 1	0 0 0	0 0 0	18 18 16 240	72 0 0 20	127 0 0 15	0 0 0 0
//5AM
26 26 26	255 223 148	255 255 255	0 0 2	0 0 2	0 0 0	0 0 0	0.1 0.1 0.3 150 100 0 3000 100 1	0 0 0	0 0 0	17 39 66 220	52 70 90 65	127 50 50 50	0 0 0 0
//6AM
10 10 5	204 198 200	255 255 255	135 137 142	143 143 125	251 187 69	255 111 23	0.1 0.1 0.2 236 0 190 3000 0 0.5	0 0 0	181 181 181	0 61 94 180	127 70 90 80	127 50 50 65	140 170 0 0
//7AM
10 10 5	204 198 200	255 255 255	142 144 155	142 140 123	251 187 69	255 111 23	0.1 0.1 0.1 236 0 190 3000 0 0.5	0 0 0	255 255 255	45 159 232 180	127 70 90 80	127 50 50 65	140 170 0 0
//Midday
10 10 5	204 198 200	255 255 255	135 135 152	142 140 123	251 187 69	255 111 23	0.1 0.1 0.1 236 0 190 3000 0 0.5	0 0 0	193 193 193	37 166 255 180	127 70 90 80	127 50 50 65	140 170 0 0
//7PM
10 10 5	204 198 200	255 255 255	134 136 140	142 140 123	251 187 69	255 111 23	0.1 0.1 0.1 236 0 190 3000 0 0.5	0 0 0	168 168 168	56 184 255 180	127 70 90 80	127 50 50 65	140 170 0 0
//8PM
10 10 5	204 198 200	255 255 255	155 155 151	142 140 123	251 187 69	255 111 23	0.1 0.1 0.1 236 0 190 3000 0 0.5	0 0 0	196 196 196	23 186 255 180	127 70 90 80	127 50 50 65	140 170 0 0
//10PM
20 34 39	225 208 206	255 255 255	145 142 153	150 154 164	255 127 0	5 8 0	0.1 0.1 0.3 160 100 0 3000 10 0.8	0 0 0	0 0 0	19 186 255 170	12 70 90 60	127 50 50 50	0 0 0 0
//
//////////// RAINY_SF
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
26 24 24	255 223 148	255 255 255	0 0 2	0 0 2	255 128 0	5 0 0	0.1 0.1 0.4 200 100 0 3000 100 1	0 0 0	0 0 0	18 18 16 240	72 0 0 20	127 0 0 15	0 0 0 0
//5AM
26 26 26	255 223 148	255 255 255	0 0 2	0 0 2	0 0 0	0 0 0	0.1 0.1 0.3 150 100 0 3000 100 1	0 0 0	0 0 0	17 39 66 220	52 70 90 65	127 50 50 50	0 0 0 0
//6AM
10 10 5	204 198 200	255 255 255	135 137 142	143 143 125	251 187 69	255 111 23	0.1 0.1 0.2 236 0 190 3000 0 0.5	0 0 0	181 181 181	0 61 94 180	127 70 90 80	127 50 50 65	140 170 0 0
//7AM
10 10 5	204 198 200	255 255 255	142 144 155	142 140 123	251 187 69	255 111 23	0.1 0.1 0.1 236 0 190 3000 0 0.5	0 0 0	255 255 255	45 159 232 180	127 70 90 80	127 50 50 65	140 170 0 0
//Midday
10 10 5	204 198 200	255 255 255	135 135 152	142 140 123	251 187 69	255 111 23	0.1 0.1 0.1 236 0 190 3000 0 0.5	0 0 0	193 193 193	37 166 255 180	127 70 90 80	127 50 50 65	140 170 0 0
//7PM
10 10 5	204 198 200	255 255 255	134 136 140	142 140 123	251 187 69	255 111 23	0.1 0.1 0.1 236 0 190 3000 0 0.5	0 0 0	168 168 168	56 184 255 180	127 70 90 80	127 50 50 65	140 170 0 0
//8PM
10 10 5	204 198 200	255 255 255	155 155 151	142 140 123	251 187 69	255 111 23	0.1 0.1 0.1 236 0 190 3000 0 0.5	0 0 0	196 196 196	23 186 255 180	127 70 90 80	127 50 50 65	140 170 0 0
//10PM
20 34 39	225 208 206	255 255 255	145 142 153	150 154 164	255 127 0	5 8 0	0.1 0.1 0.3 160 100 0 3000 10 0.8	0 0 0	0 0 0	19 186 255 170	12 70 90 60	127 50 50 50	0 0 0 0
//
//////////// FOGGY_SF
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
26 24 24	255 223 148	255 255 255	0 0 2	0 0 2	255 128 0	5 0 0	0.1 0.1 0.4 200 100 0 3000 100 1	0 0 0	0 0 0	18 18 16 240	72 0 0 20	127 0 0 15	0 0 0 0
//5AM
26 26 26	255 223 148	255 255 255	0 0 2	0 0 2	0 0 0	0 0 0	0.1 0.1 0.3 150 100 0 3000 100 1	0 0 0	0 0 0	17 39 66 220	52 70 90 65	127 50 50 50	0 0 0 0
//6AM
10 10 5	204 198 200	255 255 255	135 137 142	143 143 125	251 187 69	255 111 23	0.1 0.1 0.2 236 0 190 3000 0 0.5	0 0 0	181 181 181	0 61 94 180	127 70 90 80	127 50 50 65	140 170 0 0
//7AM
10 10 5	204 198 200	255 255 255	142 144 155	142 140 123	251 187 69	255 111 23	0.1 0.1 0.1 236 0 190 3000 0 0.5	0 0 0	255 255 255	45 159 232 180	127 70 90 80	127 50 50 65	140 170 0 0
//Midday
10 10 5	204 198 200	255 255 255	135 135 152	142 140 123	251 187 69	255 111 23	0.1 0.1 0.1 236 0 190 3000 0 0.5	0 0 0	193 193 193	37 166 255 180	127 70 90 80	127 50 50 65	140 170 0 0
//7PM
10 10 5	204 198 200	255 255 255	134 136 140	142 140 123	251 187 69	255 111 23	0.1 0.1 0.1 236 0 190 3000 0 0.5	0 0 0	168 168 168	56 184 255 180	127 70 90 80	127 50 50 65	140 170 0 0
//8PM
10 10 5	204 198 200	255 255 255	155 155 151	142 140 123	251 187 69	255 111 23	0.1 0.1 0.1 236 0 190 3000 0 0.5	0 0 0	196 196 196	23 186 255 180	127 70 90 80	127 50 50 65	140 170 0 0
//10PM
20 34 39	225 208 206	255 255 255	145 142 153	150 154 164	255 127 0	5 8 0	0.1 0.1 0.3 160 100 0 3000 10 0.8	0 0 0	0 0 0	19 186 255 170	12 70 90 60	127 50 50 50	0 0 0 0
//
//////////// SUNNY_VEGAS
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
38 38 33	255 255 255	255 255 255	20 20 20	20 20 20	255 128 0	5 0 0	0.1 0.1 0.4 200 100 0 3000 100 1	0 0 0	0 0 0	52 40 46 180	72 0 0 0	127 0 0 0	0 0 0 0
//5AM
28 20 18	255 255 255	255 255 255	0 0 0	7 15 10	0 0 0	0 0 0	0.1 0.5 0.3 150 100 0 3000 100 0.3	0 0 0	0 0 0	17 40 77 180	52 124 106 116	127 52 27 0	0 0 0 0
//6AM
23 26 24	255 255 255	255 255 255	127 122 127	229 184 136	254 128 1	255 183 16	0.1 0 0.1 140 100 0 3000 100 0.3	0 0 0	178 136 131	106 118 255 175	50 66 86 86	100 149 114 40	100 160 0 0
//7AM
26 20 18	255 255 255	255 255 255	130 125 130	178 226 255	255 255 255	128 94 46	0.21 0.2 0.3 255 0 150 3000 600 0	255 255 255	255 255 255	120 186 255 180	127 24 24 24	127 78 69 54	30 189 0 0
//Midday
38 29 25	255 255 255	255 255 255	130 125 130	120 197 245	255 255 255	255 187 91	0.21 0.2 0.3 255 0 150 3000 600 0	255 255 255	255 255 255	50 170 255 180	127 23 23 23	127 78 69 54	30 189 0 0
//7PM
39 38 38	255 255 255	255 255 255	130 125 130	134 202 245	255 255 255	128 94 46	0.21 0.2 0.3 255 0 150 3000 600 0	255 255 255	255 255 255	75 180 255 180	127 25 25 25	127 78 69 54	30 189 0 0
//8PM
0 0 0	255 255 255	255 255 255	130 125 130	216 202 184	155 129 110	255 136 17	0.1 0.1 0.1 100 60 0 3000 5 1	0 0 0	129 129 129	106 125 255 160	90 39 29 21	90 77 43 9	140 101 0 0
//10PM
20 25 25	255 255 255	255 255 255	45 42 45	45 42 45	255 127 0	5 8 0	0.1 0.1 0.3 160 100 0 3000 10 0.8	0 0 0	0 0 0	35 47 78 180	12 74 143 91	127 78 52 0	0 0 0 0
//
//////////// EXTRASUNNY_VEGAS
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
38 38 33	255 255 255	255 255 255	20 20 20	20 20 20	255 128 0	5 0 0	0.1 0.1 0.4 200 100 0 3000 100 1	0 0 0	0 0 0	52 40 46 180	72 0 0 0	127 0 0 0	0 0 0 0
//5AM
28 20 18	255 255 255	255 255 255	0 0 0	7 15 10	0 0 0	0 0 0	0.1 0.5 0.3 150 100 0 3000 100 0.3	0 0 0	0 0 0	17 40 77 180	52 124 106 116	127 52 27 0	0 0 0 0
//6AM
23 26 24	255 255 255	255 255 255	127 122 127	229 184 136	254 128 1	255 183 16	0.1 0 0.1 140 100 0 3000 100 0.3	0 0 0	178 136 131	106 118 255 175	50 66 86 86	100 149 114 40	100 160 0 0
//7AM
26 20 18	255 255 255	255 255 255	130 125 130	178 226 255	255 255 255	128 94 46	0.21 0.2 0.3 255 0 150 3000 600 0	255 255 255	255 255 255	120 186 255 180	127 24 24 24	127 78 69 54	30 189 0 0
//Midday
38 29 25	255 255 255	255 255 255	130 125 130	120 197 245	255 255 255	255 187 91	0.21 0.2 0.3 255 0 150 3000 600 0	255 255 255	255 255 255	50 170 255 180	127 23 23 23	127 78 69 54	30 189 0 0
//7PM
39 38 38	255 255 255	255 255 255	130 125 130	134 202 245	255 255 255	128 94 46	0.21 0.2 0.3 255 0 150 3000 600 0	255 255 255	255 255 255	75 180 255 180	127 25 25 25	127 78 69 54	30 189 0 0
//8PM
0 0 0	255 255 255	255 255 255	130 125 130	216 202 184	155 129 110	255 136 17	0.1 0.1 0.1 100 60 0 3000 5 1	0 0 0	129 129 129	106 125 255 160	90 39 29 21	90 77 43 9	140 101 0 0
//10PM
20 25 25	255 255 255	255 255 255	45 42 45	45 42 45	255 127 0	5 8 0	0.1 0.1 0.3 160 100 0 3000 10 0.8	0 0 0	0 0 0	35 47 78 180	12 74 143 91	127 78 52 0	0 0 0 0
//
//////////// CLOUDY_VEGAS
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
